Zeitstempel,請問你是中文母語使用者嗎？,請問你接觸、學習中文幾年了呢，請以數字作答（ex. 1.5、6）？,請從「雙、副、對」中選擇你覺得最合適的量詞。 [耳機],請從「雙、副、對」中選擇你覺得最合適的量詞。 [翅膀],請從「雙、副、對」中選擇你覺得最合適的量詞。 [夫妻],請從「雙、副、對」中選擇你覺得最合適的量詞。 [鈕扣],請從「雙、副、對」中選擇你覺得最合適的量詞。 [眼鏡],請從「雙、副、對」中選擇你覺得最合適的量詞。 [肩膀],請從「雙、副、對」中選擇你覺得最合適的量詞。 [鼓棒],請從「雙、副、對」中選擇你覺得最合適的量詞。 [手套],請從「雙、副、對」中選擇你覺得最合適的量詞。 [刀叉],請從「雙、副、對」中選擇你覺得最合適的量詞。 [腳],請從「雙、副、對」中選擇你覺得最合適的量詞。 [手],請從「雙、副、對」中選擇你覺得最合適的量詞。 [耳朵],請從「雙、副、對」中選擇你覺得最合適的量詞。 [手掌],請從「雙、副、對」中選擇你覺得最合適的量詞。 [鴛鴦],請從「雙、副、對」中選擇你覺得最合適的量詞。 [耳環],請從「雙、副、對」中選擇你覺得最合適的量詞。 [靴子],請從「雙、副、對」中選擇你覺得最合適的量詞。 [情侶],請從「雙、副、對」中選擇你覺得最合適的量詞。 [筷子],請從「雙、副、對」中選擇你覺得最合適的量詞。 [角],請從「雙、副、對」中選擇你覺得最合適的量詞。 [鞋],請從「雙、副、對」中選擇你覺得最合適的量詞。 [枕頭],請從「雙、副、對」中選擇你覺得最合適的量詞。 [眉毛],請從「雙、副、對」中選擇你覺得最合適的量詞。 [兒女],請從「雙、副、對」中選擇你覺得最合適的量詞。 [骰子],請從「雙、副、對」中選擇你覺得最合適的量詞。 [拖鞋],請從「雙、副、對」中選擇你覺得最合適的量詞。 [腿],請從「雙、副、對」中選擇你覺得最合適的量詞。 [胳膊],請從「雙、副、對」中選擇你覺得最合適的量詞。 [高跟鞋],請從「雙、副、對」中選擇你覺得最合適的量詞。 [眼睛],鈕扣,刀叉,鴛鴦...35,手套,眼鏡,拖鞋,骰子...39,耳環,手,手掌,角,鴛鴦...44,枕頭,翅膀,骰子...47,耳朵,肩膀,腳,筷子,眉毛,腿,鞋,靴子,高跟鞋,眼睛,情侶,夫妻,兒女,耳機,胳膊,鼓棒,襪子
2021/01/07 1:33:32 AM GMT+8,是,NA,副,雙,對,對,副,對,對,雙,副,雙,雙,對,雙,對,副,雙,對,雙,對,雙,對,對,對,對,雙,雙,雙,雙,雙,對,副,對,對,副,雙,對,副,雙,雙,對,對,對,對,對,雙,對,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,對,雙,對,雙
2021/01/07 1:54:28 AM GMT+8,是,NA,副,雙,對,對,副,雙,對,雙,副,雙,雙,雙,雙,對,對,雙,副,雙,對,雙,對,對,對,副,雙,雙,雙,雙,雙,副,副,對,雙,副,雙,副,副,雙,雙,對,對,對,雙,副,雙,對,雙,對,雙,雙,雙,雙,雙,雙,對,對,對,副,雙,對,雙
2021/01/07 1:58:01 AM GMT+8,是,NA,對,對,對,副,副,雙,對,雙,副,雙,雙,雙,對,對,副,雙,對,雙,對,雙,對,對,對,對,雙,雙,對,雙,對,對,副,對,雙,副,雙,對,對,雙,雙,對,對,對,對,對,對,對,雙,副,對,雙,雙,雙,雙,雙,對,對,對,副,對,對,雙
2021/01/07 2:19:01 AM GMT+8,是,NA,副,對,對,副,副,對,對,雙,副,雙,雙,對,對,對,副,雙,對,雙,雙,雙,副,對,雙,副,雙,雙,雙,雙,雙,副,副,對,雙,副,雙,副,副,雙,雙,雙,對,副,對,副,對,雙,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,副,對,對,雙
2021/01/07 8:23:46 AM GMT+8,是,NA,副,對,對,對,副,對,副,副,副,雙,雙,雙,對,對,副,雙,對,雙,對,雙,副,對,對,副,雙,雙,對,對,雙,對,副,對,雙,副,副,副,副,雙,對,對,對,副,對,副,副,副,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,副,副,副,雙
2021/01/07 9:23:20 AM GMT+8,是,NA,副,對,對,對,副,對,雙,雙,副,雙,雙,對,對,雙,對,雙,對,雙,對,雙,對,對,對,對,雙,雙,對,雙,雙,對,副,雙,雙,副,雙,對,對,雙,對,雙,對,對,副,副,對,雙,雙,雙,對,雙,雙,雙,對,對,雙,對,對,副,對,副,雙
2021/01/07 9:27:32 AM GMT+8,是,NA,副,雙,對,雙,副,雙,副,副,副,雙,雙,對,副,對,副,雙,對,雙,雙,雙,雙,對,對,副,雙,雙,雙,雙,雙,副,副,對,副,副,雙,副,對,雙,副,對,對,雙,雙,對,對,副,雙,雙,雙,雙,雙,雙,雙,副,對,對,對,副,對,副,副
2021/01/07 9:47:21 AM GMT+8,是,NA,副,雙,對,副,副,對,副,副,副,雙,雙,對,對,雙,副,對,對,雙,對,雙,對,對,雙,副,雙,雙,雙,雙,對,副,副,對,副,副,雙,副,副,雙,對,雙,對,對,雙,副,對,對,對,雙,對,雙,雙,雙,雙,雙,對,對,雙,副,對,副,雙
2021/01/07 9:58:44 AM GMT+8,是,NA,副,對,對,對,副,對,雙,副,副,雙,雙,對,雙,對,副,雙,對,副,雙,雙,副,雙,對,對,雙,雙,雙,雙,雙,對,副,對,雙,副,雙,副,副,雙,雙,雙,對,對,對,副,對,雙,雙,雙,雙,雙,雙,雙,雙,雙,對,對,對,副,雙,雙,雙
2021/01/07 11:14:52 AM GMT+8,是,NA,副,雙,對,對,副,對,副,雙,雙,雙,雙,副,對,對,對,雙,對,副,對,雙,副,副,對,對,雙,雙,雙,對,雙,對,副,對,副,副,雙,對,副,雙,對,雙,對,副,雙,副,副,對,雙,對,雙,雙,雙,雙,對,雙,對,對,對,副,對,雙,雙
2021/01/07 11:54:34 AM GMT+8,是,NA,對,副,對,副,副,雙,雙,雙,雙,雙,副,雙,副,對,副,雙,對,副,對,雙,副,雙,對,對,雙,副,雙,雙,雙,副,副,對,副,副,雙,對,對,雙,雙,對,對,副,對,對,雙,對,雙,副,雙,雙,雙,雙,對,雙,對,對,對,對,副,副,雙
2021/01/07 1:37:02 PM GMT+8,是,NA,副,雙,對,副,副,對,雙,雙,副,雙,雙,雙,對,對,副,雙,對,雙,對,雙,副,對,對,副,雙,雙,雙,雙,雙,副,副,對,雙,副,雙,副,副,雙,雙,雙,對,對,對,對,雙,副,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,副,雙,副,雙
2021/01/07 1:42:58 PM GMT+8,是,NA,副,雙,對,副,副,對,副,雙,副,雙,雙,雙,雙,對,對,雙,對,副,雙,雙,雙,對,對,副,副,雙,雙,雙,雙,副,副,對,雙,副,雙,副,對,雙,雙,對,對,副,雙,副,雙,對,雙,副,副,雙,雙,雙,雙,副,對,對,對,副,對,副,雙
2021/01/07 1:50:09 PM GMT+8,是,NA,副,對,對,副,副,雙,副,雙,副,雙,雙,對,副,對,對,雙,對,副,對,雙,副,對,對,副,雙,雙,對,對,對,副,副,對,副,副,雙,副,對,雙,雙,副,對,副,雙,副,對,對,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,副,對,副,雙
2021/01/07 2:26:57 PM GMT+8,是,NA,副,雙,對,副,副,對,對,雙,副,雙,雙,雙,雙,對,副,雙,對,雙,雙,雙,對,雙,對,副,雙,雙,雙,雙,雙,對,副,對,雙,副,雙,副,對,雙,對,對,對,對,雙,副,副,副,雙,雙,雙,雙,雙,雙,雙,雙,對,對,對,副,副,對,雙
2021/01/07 3:06:35 PM GMT+8,是,NA,副,對,對,對,副,對,副,副,副,雙,雙,對,對,對,對,雙,對,雙,對,雙,對,對,對,副,雙,雙,雙,雙,雙,對,副,對,副,副,雙,副,副,雙,雙,對,對,對,對,副,對,對,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,對,對,副,雙
2021/01/07 3:45:08 PM GMT+8,是,NA,副,對,對,副,副,雙,對,雙,副,雙,雙,雙,對,對,對,雙,對,雙,對,雙,副,對,對,副,雙,雙,雙,雙,雙,副,副,對,雙,副,雙,副,副,雙,雙,對,對,副,對,副,雙,雙,雙,雙,副,雙,雙,雙,雙,雙,對,對,對,副,雙,對,雙
2021/01/07 4:09:33 PM GMT+8,是,NA,副,對,對,對,副,對,副,雙,副,雙,雙,雙,雙,對,對,雙,對,雙,對,雙,副,對,對,對,雙,雙,對,雙,雙,副,副,對,對,副,雙,對,對,雙,雙,對,對,對,雙,對,雙,雙,雙,雙,副,雙,雙,雙,雙,雙,對,對,對,副,雙,對,對
2021/01/07 4:19:21 PM GMT+8,是,NA,副,對,對,副,副,雙,副,對,對,雙,雙,對,對,對,對,雙,對,雙,對,雙,對,對,對,副,雙,雙,對,雙,雙,副,對,對,副,副,雙,對,對,雙,對,對,對,對,對,對,對,對,雙,雙,對,雙,雙,雙,雙,雙,對,對,雙,副,對,對,雙
2021/01/07 4:41:55 PM GMT+8,否,7,雙,雙,副,副,對,副,副,雙,副,對,雙,對,雙,副,雙,雙,副,雙,雙,雙,副,對,副,副,雙,對,副,雙,雙,副,副,副,雙,雙,雙,副,雙,對,雙,雙,副,副,對,副,對,副,雙,雙,雙,對,雙,雙,雙,對,副,副,副,雙,雙,雙,雙
2021/01/07 4:44:40 PM GMT+8,是,NA,副,雙,對,副,副,對,副,雙,副,雙,雙,對,雙,對,對,雙,對,雙,對,雙,對,雙,雙,副,雙,雙,副,雙,副,副,副,對,雙,副,雙,副,副,雙,雙,對,對,對,對,副,雙,副,雙,副,副,雙,雙,雙,雙,雙,對,對,雙,副,副,副,雙
2021/01/07 6:03:28 PM GMT+8,是,NA,對,對,對,副,副,對,對,副,副,雙,雙,對,對,對,副,雙,對,對,副,雙,雙,對,對,副,雙,雙,對,雙,雙,對,副,對,副,雙,雙,副,副,雙,雙,雙,對,副,對,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,對,對,對,副,對,對,雙
2021/01/07 6:20:35 PM GMT+8,是,NA,副,對,對,副,副,對,對,雙,副,雙,雙,對,雙,對,副,雙,對,雙,對,雙,對,副,對,副,雙,雙,雙,雙,對,副,副,對,雙,副,雙,副,副,雙,雙,對,對,對,對,副,對,對,雙,雙,對,雙,雙,雙,雙,對,對,對,對,副,對,對,雙
2021/01/07 6:41:27 PM GMT+8,是,NA,副,對,對,副,副,對,對,雙,副,雙,雙,對,副,對,副,雙,對,雙,對,雙,對,對,對,副,雙,雙,對,雙,雙,副,副,雙,副,副,雙,副,對,雙,雙,對,對,副,對,副,雙,對,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,對,對,對,雙
2021/01/07 6:54:39 PM GMT+8,是,NA,副,雙,對,對,對,雙,對,副,副,雙,雙,雙,雙,對,副,雙,對,副,對,雙,副,對,對,副,雙,對,對,雙,雙,對,副,對,副,雙,雙,副,副,雙,雙,對,對,副,雙,副,雙,雙,雙,副,雙,雙,雙,雙,雙,雙,對,對,對,副,雙,副,雙
2021/01/07 6:54:42 PM GMT+8,是,NA,副,雙,對,對,副,對,副,雙,副,雙,雙,對,雙,對,對,雙,對,雙,對,雙,對,對,對,對,雙,雙,對,雙,對,對,副,對,副,副,雙,對,副,雙,對,對,對,對,對,對,對,對,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,副,對,雙,雙
2021/01/07 7:06:08 PM GMT+8,是,NA,副,對,對,對,副,對,副,雙,副,對,對,雙,副,對,副,雙,對,副,副,雙,副,對,對,雙,雙,雙,對,對,對,對,副,對,雙,副,雙,副,副,雙,雙,對,對,副,對,對,對,對,雙,副,對,雙,對,雙,對,對,對,對,對,副,對,副,雙
2021/01/07 8:02:47 PM GMT+8,是,NA,副,對,對,對,副,對,對,副,副,雙,雙,對,對,對,副,雙,對,雙,對,雙,副,對,對,對,雙,雙,雙,雙,對,副,副,對,雙,副,雙,對,副,雙,雙,對,對,對,雙,對,對,對,雙,雙,對,雙,雙,雙,雙,對,對,對,對,副,雙,對,雙
2021/01/07 8:14:18 PM GMT+8,是,NA,對,對,對,對,副,雙,副,雙,雙,對,雙,副,雙,對,副,雙,對,副,副,雙,對,副,對,對,雙,雙,對,雙,雙,對,雙,對,雙,副,雙,副,副,雙,雙,副,對,對,對,對,對,雙,雙,副,副,雙,雙,雙,雙,雙,對,對,對,對,雙,副,雙
2021/01/07 8:16:06 PM GMT+8,是,NA,副,雙,對,副,副,雙,副,副,副,雙,雙,雙,雙,對,副,雙,對,雙,對,雙,雙,對,雙,副,雙,雙,雙,雙,雙,副,副,對,副,副,雙,副,副,雙,對,副,雙,對,雙,副,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,對,對,對,副,雙,副,雙
2021/01/07 8:17:49 PM GMT+8,是,NA,雙,雙,雙,雙,雙,雙,雙,雙,對,雙,雙,雙,雙,雙,雙,雙,對,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,對,雙,雙,雙,副,雙,雙,副,雙,雙,雙,對,對,對,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,對,對,雙,對,雙,副,雙
2021/01/07 8:19:19 PM GMT+8,是,NA,副,雙,雙,雙,副,雙,雙,雙,雙,雙,雙,雙,雙,雙,副,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,對,雙,副,雙,雙,副,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,對,對,雙,雙,雙,雙,雙
2021/01/07 8:19:46 PM GMT+8,是,NA,副,對,對,對,雙,副,副,雙,副,雙,雙,對,雙,對,對,雙,對,雙,對,雙,副,對,對,副,雙,雙,雙,雙,雙,對,副,對,雙,雙,雙,副,對,雙,雙,對,對,副,雙,副,雙,對,雙,副,對,雙,雙,雙,雙,雙,對,對,對,副,對,副,雙
2021/01/07 8:47:38 PM GMT+8,是,NA,副,雙,對,對,副,對,副,雙,副,雙,雙,雙,雙,對,副,雙,對,雙,對,雙,對,對,對,副,雙,雙,雙,雙,雙,對,副,對,雙,副,雙,副,對,雙,雙,對,對,雙,雙,副,雙,雙,雙,雙,對,雙,雙,雙,雙,雙,對,對,雙,副,雙,雙,雙
2021/01/07 8:51:24 PM GMT+8,是,NA,副,對,對,副,副,對,副,副,副,雙,雙,對,對,對,對,雙,對,雙,對,雙,對,對,雙,對,雙,雙,對,雙,對,對,副,雙,副,副,雙,對,對,雙,雙,對,雙,對,對,對,對,副,雙,雙,對,雙,雙,雙,雙,對,對,對,對,副,對,副,雙
2021/01/07 9:08:54 PM GMT+8,是,NA,副,對,對,對,副,對,副,雙,副,雙,雙,對,對,對,副,雙,對,雙,對,雙,對,對,雙,副,雙,雙,雙,雙,雙,副,副,對,雙,副,雙,副,副,雙,對,對,對,對,對,副,雙,雙,雙,雙,對,雙,雙,雙,雙,雙,對,對,雙,副,對,對,雙
2021/01/07 9:15:40 PM GMT+8,是,NA,副,對,對,副,副,對,副,副,副,雙,雙,對,對,對,副,雙,對,雙,對,雙,對,對,對,對,雙,雙,對,雙,雙,副,副,對,雙,副,雙,對,副,雙,對,對,對,對,對,對,對,對,雙,雙,對,雙,雙,雙,雙,雙,對,對,雙,副,對,對,雙
2021/01/07 9:47:00 PM GMT+8,是,NA,副,雙,對,對,副,對,副,雙,副,雙,雙,對,對,對,對,雙,對,雙,對,雙,對,雙,雙,副,雙,雙,對,雙,對,副,副,對,雙,副,雙,副,對,雙,雙,對,對,對,雙,副,對,對,雙,副,對,雙,雙,雙,雙,雙,對,對,雙,副,對,副,雙
2021/01/07 10:20:50 PM GMT+8,是,NA,副,對,對,對,副,對,對,雙,對,雙,雙,對,雙,對,對,雙,對,雙,對,雙,對,對,對,對,雙,雙,雙,雙,雙,對,對,對,雙,副,雙,對,對,雙,雙,對,對,對,對,對,對,對,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,副,雙,對,雙
2021/01/07 10:30:11 PM GMT+8,是,NA,副,雙,對,對,副,對,對,雙,對,雙,雙,對,雙,對,副,雙,對,雙,對,雙,副,對,對,副,雙,雙,雙,雙,雙,副,副,對,雙,副,雙,對,副,雙,對,對,對,對,對,副,對,對,雙,對,對,雙,雙,雙,雙,雙,對,對,對,副,雙,副,雙
2021/01/07 10:50:47 PM GMT+8,是,NA,副,雙,對,副,副,對,雙,雙,副,雙,雙,雙,副,對,副,雙,對,雙,對,雙,副,對,對,對,雙,雙,對,雙,雙,副,副,對,副,副,雙,對,副,雙,雙,對,對,副,副,副,對,對,副,雙,對,雙,雙,雙,雙,雙,對,對,對,副,對,對,雙
2021/01/07 11:33:01 PM GMT+8,是,NA,副,對,對,對,副,對,對,雙,副,雙,雙,副,雙,對,對,雙,對,副,對,雙,對,對,對,雙,雙,雙,對,雙,雙,對,副,對,雙,副,雙,副,對,雙,對,雙,對,對,雙,副,雙,雙,雙,雙,對,雙,雙,對,雙,雙,對,雙,對,副,雙,對,雙
2021/01/08 3:56:11 AM GMT+8,是,NA,副,對,對,副,副,對,對,副,雙,雙,雙,對,雙,對,副,雙,對,雙,對,雙,雙,對,對,副,雙,雙,對,雙,雙,副,雙,對,副,雙,雙,副,副,雙,雙,對,對,副,對,副,對,對,對,雙,對,雙,雙,雙,雙,雙,對,對,對,副,對,副,雙
2021/01/08 11:34:47 AM GMT+8,是,NA,副,雙,對,對,副,副,雙,雙,副,雙,雙,雙,對,對,副,雙,對,雙,雙,雙,副,雙,雙,副,雙,雙,雙,雙,雙,對,副,雙,雙,副,雙,副,副,雙,雙,對,對,副,副,對,雙,副,雙,副,對,雙,雙,雙,雙,雙,對,對,雙,副,雙,副,雙
2021/01/08 12:01:03 PM GMT+8,是,NA,副,對,對,對,副,對,副,副,副,雙,雙,對,對,對,副,雙,對,雙,副,雙,對,對,對,副,雙,雙,對,雙,雙,雙,副,對,副,副,雙,副,副,雙,雙,對,對,雙,副,副,副,對,副,副,對,雙,雙,雙,雙,副,對,對,對,副,副,副,雙
2021/01/08 3:09:37 PM GMT+8,是,NA,副,對,對,副,副,雙,副,雙,副,雙,雙,雙,對,對,副,雙,對,雙,對,雙,對,對,對,副,雙,雙,雙,雙,對,副,副,對,雙,副,雙,副,副,雙,雙,副,對,副,雙,副,雙,對,雙,副,對,雙,雙,雙,雙,雙,對,對,對,副,雙,副,雙
2021/01/08 6:56:51 PM GMT+8,是,NA,副,對,對,副,副,對,雙,雙,副,雙,雙,對,雙,對,副,雙,對,雙,對,雙,對,對,對,副,雙,雙,對,雙,雙,副,副,對,雙,副,雙,副,對,雙,雙,對,對,對,對,副,雙,對,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,副,對,雙,雙
2021/01/08 10:04:30 PM GMT+8,是,NA,副,對,對,對,副,對,對,副,副,雙,雙,雙,對,對,副,雙,對,雙,對,雙,副,副,對,雙,雙,雙,雙,雙,雙,副,副,對,副,副,雙,對,對,雙,雙,雙,對,副,對,雙,雙,對,雙,雙,副,雙,雙,雙,雙,雙,對,對,對,副,對,副,副
2021/01/08 10:25:35 PM GMT+8,是,NA,副,雙,對,副,副,對,對,對,雙,對,對,對,對,對,副,對,對,對,對,對,雙,雙,對,副,對,雙,對,對,對,副,副,副,對,副,對,副,副,雙,雙,對,對,副,雙,副,對,雙,對,對,對,雙,對,對,對,對,對,對,雙,副,對,副,對
2021/01/08 10:27:36 PM GMT+8,是,NA,副,雙,對,副,副,雙,副,雙,副,對,雙,對,對,雙,對,副,對,雙,雙,副,副,雙,對,副,雙,對,對,對,雙,副,副,雙,對,副,雙,副,雙,雙,副,對,對,副,雙,副,對,對,對,雙,對,對,雙,雙,雙,雙,雙,對,雙,副,雙,副,雙
2021/01/08 10:29:16 PM GMT+8,是,NA,副,雙,對,副,副,雙,對,對,副,對,對,雙,雙,對,對,對,對,對,對,對,副,對,對,副,雙,雙,對,雙,雙,副,副,對,副,副,雙,副,對,雙,雙,對,對,副,雙,副,對,對,雙,對,對,雙,雙,雙,雙,雙,對,對,對,副,對,對,雙
2021/01/08 10:30:39 PM GMT+8,是,NA,副,對,對,副,副,對,對,對,副,雙,對,對,對,對,對,雙,對,雙,對,雙,副,雙,對,副,雙,雙,對,雙,雙,雙,副,對,對,副,對,副,對,雙,對,對,對,副,對,副,對,對,雙,雙,對,雙,對,對,雙,雙,對,對,對,副,對,對,對
2021/01/08 11:31:38 PM GMT+8,是,NA,副,雙,對,副,副,副,副,副,副,雙,雙,副,對,對,雙,雙,對,雙,對,雙,副,對,對,副,雙,雙,雙,雙,雙,副,副,對,雙,副,雙,副,副,雙,雙,對,對,副,雙,副,雙,副,雙,雙,雙,雙,雙,雙,雙,雙,對,對,對,副,雙,副,雙
2021/01/08 11:57:01 PM GMT+8,否,大概 5 年（斷斷續續的),對,對,對,副,副,雙,副,副,副,雙,雙,雙,對,對,對,雙,對,雙,對,雙,副,雙,對,副,雙,雙,對,雙,雙,副,副,對,副,副,雙,副,對,雙,雙,雙,對,副,對,副,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,對,對,對,對,雙,雙,雙
2021/01/09 2:56:46 AM GMT+8,否,1.6,雙,雙,對,副,副,雙,雙,副,副,雙,雙,雙,雙,對,對,雙,對,雙,雙,雙,副,雙,對,雙,雙,雙,雙,雙,對,副,副,對,副,副,雙,雙,副,雙,雙,雙,對,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,對,對,對,副,雙,雙,雙
2021/01/09 10:25:01 AM GMT+8,是,NA,對,雙,對,雙,副,對,副,雙,副,雙,雙,對,雙,對,對,雙,對,雙,對,雙,副,副,對,對,雙,雙,雙,雙,雙,副,副,對,雙,副,雙,副,副,雙,雙,對,對,副,雙,副,對,副,雙,雙,副,雙,雙,雙,雙,雙,對,對,對,副,對,副,雙
2021/01/09 11:35:47 AM GMT+8,是,NA,副,對,對,副,對,對,對,雙,副,雙,雙,雙,雙,對,副,雙,對,雙,對,雙,副,對,對,副,雙,雙,雙,雙,雙,副,副,對,雙,副,雙,副,副,雙,雙,對,對,對,對,副,副,對,雙,雙,對,雙,雙,雙,雙,雙,對,對,對,副,對,對,雙
2021/01/09 2:00:36 PM GMT+8,是,NA,對,雙,對,對,副,雙,對,對,對,對,雙,對,對,對,對,雙,對,雙,對,對,副,雙,雙,副,對,雙,對,對,對,對,對,對,對,副,對,副,對,對,雙,雙,對,對,對,副,對,對,對,對,對,雙,對,對,對,對,對,對,雙,副,對,對,對
2021/01/09 7:32:20 PM GMT+8,否,1、12,雙,雙,對,對,副,雙,雙,雙,對,雙,雙,雙,雙,對,雙,雙,對,雙,副,雙,副,雙,對,副,雙,雙,雙,雙,雙,對,對,對,雙,副,雙,副,雙,雙,雙,副,對,副,雙,副,雙,雙,雙,雙,雙,雙,雙,雙,雙,雙,對,對,對,雙,雙,雙,雙
2021/01/10 1:00:35 AM GMT+8,是,NA,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,副,對,對,副,雙,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,對,副,對,對
